hvac_S,hvac_N
22.3298381,44.01247619
21.230625,28.96
27.16,8.7725
26.78947368,14.74
18.165,31.87157895
26.725,8.185555556
13.40533333,23.55
17.18736842,22.76315789
26.01875,22.7
21.88,7.885714286
44.25052632,8.87
10.458138810685568,18.46983598616498
33.0,37.4
2.388888889,19.50473684
22.89770539,8.2
0.0,22.5
22.08,28.39333333
44.229,8.611428571
0.0,18.79133333
20.55555556,9.25
36.36789474,33.49277778
16.72571429,2.14375
37.08,8.083333333
27.52222222,8.287777778
39.50470588,41.55764706
7.0,20.849
10.75823529,22.79388889
20.93,20.28842105
26.53888889,8.9
30.29944444,33.90444444
27.16680153,9.76351478
21.03166667,10.675
20.1,23.9
24.96666667,9.527142857
42.5,42.8
50.04285714,8.824285714
31.6,47.9
18.39,37.9
49.61578947,8.753333333
0.0,0.0
16.698299996517562,31.273245465488117
25.83201035,9.444172194
44.81290323,29.37741935
0.0,1.153333333
25.5,36.7
31.314,34.7647619
1.757142857,2.828571429
24.96369488,9.193481225
26.4,38.4
0.0,0.0
21.29473684,8.699
0.0,0.0
0.0,0.0
0.0,11.27231631
21.7,63.1
20.82526316,40.68
41.2,65.0
21.95833333,22.65833333
19.1,36.5
17.046875,19.8675
33.16842105,9.718
33.09866667,36.94857143
0.0,0.0
20.97336808,7.9
29.5,8.21
13.24333333,21.32666667
27.4,9.338
19.49705882,24.13888889
21.905,4.705
36.80333333,7.7375
20.95705882,8.863333333
18.5,43.2
28.54210526,9.24
2.815,18.93611111
20.65090909,32.33363636
23.02666667,38.09333333
39.425,42.30416667
38.206,44.45933333
19.46823529,23.8375
26.66533333,27.885
25.48888889,14.36684211
0.925,1.192666667
4.888333333,20.04461538
25.25555556,7.576666667
17.78736842,22.4
24.21111111,9.116666667
5.849444444,18.51555556
24.2,44.1
30.06611111,9.266666667
26.40833333,14.58333333
17.265,24.47055556
0.944444444,14.84411765
0.0,17.36117647
6.804736842,19.38684211
8.198181818,22.91
0.0,16.97133333
17.42611111,25.02222222
0.0,22.22222222
19.75944444,24.70555556
18.87266667,22.41538462
0.0,17.4165
35.77666667,39.72545455
42.05117647,8.755714286
22.1,21.4
0.0,15.14142857
1.773157895,25.10526316
16.792690472686047,32.132371752619974
24.42882353,9.6225
26.20588235,8.433333333
22.08,8.0
18.89,21.5
19.08,42.19947368
29.48,8.4225
28.4,30.3
29.73333333,17.26
18.63166667,23.78888889
19.99736842,22.94444444
21.3,68.2
0.0,21.3
5.715555556,29.73684211
20.96,25.73333333
22.83333333,7.571428571
14.7,33.5
17.34466667,24.85
16.18157895,15.32857143
28.38333333,23.87315789
0.0,38.28315789
23.72352941,7.865555556
6.066666667,7.42
0.0,15.86666667
19.3,37.2
18.57444444,41.55555556
0.0,0.142735043
42.78428571,9.287
29.13,8.082857143
28.43333333,7.825454545
21.51052632,8.3475
27.8,52.8
20.61727273,24.66666667
8.415,20.709
0.0,0.0
24.7,23.9
23.6,27.72
40.47,9.118
2.927222222,20.325
29.53333333,8.225
24.18045348,8.2
14.15578947,23.22
21.73352941,7.8
24.535,7.898333333
32.7,51.3
24.80526316,8.065
22.85,8.429
0.0,38.12111111
21.9175,42.649375
18.33266667,27.0
29.49473684,7.76
29.08947368,8.518
29.6,9.44
12.629,21.77842105
12.21666667,22.06666667
20.1,23.9
26.6,8.32125
30.76666667,8.763333333
4.666666667,4.988235294
0.0,0.0
27.36470588,8.764444444
19.8,40.9
26.42,9.1
0.0,44.9
0.0,21.3
25.90529412,27.31058824
27.2,51.7
4.367894737,21.44944444
15.08588235,21.24944444
30.67615385,36.32076923
26.111875,32.52153846
22.589,9.2225
0.0,16.66526316
18.39,18.89
15.02923077,18.71230769
39.18952381,9.644444444
24.26,8.0
68.22764706,8.098571429
23.9,43.8
27.54285714,8.368
25.2,23.0
23.59045455,28.725
23.50555556,8.11125
26.8,24.7
28.35789474,8.144444444
18.0,25.6
20.60411765,27.175
46.14052632,7.8
39.9,40.9
30.174375,31.586875
16.08647059,26.625
47.61666667,8.608
26.25,8.227142857
0.0,14.78277778
15.175,21.9575
16.1,37.2
12.75105263,13.855
22.99421053,22.38888889
21.34033563,8.8
28.81578947,8.427142857
26.785,8.27375
22.88947368,10.85
22.0,39.1
29.01875,26.82666667
28.27,8.721111111
18.49736842,28.45263158
24.10625,9.244444444
20.39,44.2
21.53631579,14.91428571
0.0,0.0
34.05266667,35.91357143
25.38125,32.05333333
20.10833333,8.697777778
17.25526316,25.25789474
0.0,11.88277778
36.2,33.7
21.71666667,30.275
0.0,31.9
24.52105263,25.69444444
22.455,24.40692308
20.30466667,30.2
18.7,43.5
17.19866667,35.425
0.0,14.35105263
30.76666667,8.8475
26.25789474,8.233333333
4.766111111,9.3475
28.1,42.2
9.147368421,23.91666667
2.48,8.518888889
27.16921305,9.837756676
0.0,36.7
39.62,8.27
22.58823529,13.62882353
16.38678267853868,20.612148441572344
21.57095238,8.042857143
14.54117647,22.68176471
24.26096840007051,37.02926023245868
22.8344431,8.3475
19.8,44.4
9.658,8.055714286
25.33157895,9.48625
38.53166667,44.79388889
0.0,0.0
10.58823529,4.8375
27.15,15.17142857
36.7,20.9
27.71666667,8.128571429
60.2,8.56125
25.24444444,16.94
21.4,22.4
20.0,45.3
0.0,0.0
7.758,26.77
40.11388889,8.543333333
2.857894737,39.14526316
22.14705882,21.63529412
18.5,40.1
0.0,8.7725
3.725,8.188888889
26.53157895,8.175
21.511875,24.975
22.70666667,42.18
23.57930619,8.566666667
20.0,42.1
30.01578947,7.998
31.2995,29.54444444
33.83411765,37.43733333
19.08,29.08125
26.55789474,8.69625
23.24,8.35
0.0,38.5
18.5,40.79
0.0,0.0
12.86789474,21.30894737
34.0,42.5
24.38,40.53571429
38.38315789,35.67263158
21.85294118,39.48823529
27.22222222,10.26
0.0,0.0
10.63111111,21.49411765
13.96125,22.22222222
